FrameNumber,ObjectID,X,Y,Width,Height,Confidence,Class
000001,1,0,670,51,218,0.7884801030158997,1
000001,2,1611,554,52,119,0.7879082560539246,1
000001,3,1077,543,111,109,0.7717917561531067,3
000001,4,952,543,88,71,0.7636435627937317,3
000001,5,121,704,50,99,0.6629497408866882,1
000001,6,1524,562,48,110,0.6559003591537476,1
000001,7,501,549,37,90,0.6270743608474731,1
000001,8,539,540,35,98,0.5902621746063232,1
000001,9,1369,511,35,102,0.5747759342193604,1
000001,10,1861,559,45,112,0.4775042235851288,1
000001,11,979,493,29,27,0.3737337589263916,3
000001,12,1486,526,23,66,0.3593766987323761,1
000001,13,1445,496,27,85,0.34935006499290466,1
000001,14,195,615,37,112,0.32252538204193115,1
000001,15,273,596,37,130,0.27581557631492615,1
000002,16,952,540,87,66,0.8112752437591553,3
000002,17,1078,537,119,111,0.7675372362136841,3
000002,18,1617,553,55,122,0.7447607517242432,1
000002,19,1528,557,49,116,0.6663941144943237,1
000002,20,0,643,40,233,0.6597582101821899,1
000002,21,109,697,48,99,0.6554855704307556,1
000002,22,1808,761,35,96,0.6458597183227539,11
000002,23,1371,511,37,99,0.5806307196617126,1
000002,24,500,529,38,100,0.552990198135376,1
000002,25,538,527,34,101,0.512295663356781,1
000002,26,181,564,45,146,0.4776386320590973,1
000002,27,1452,497,27,84,0.4672226905822754,1
000002,28,1873,558,44,110,0.40833258628845215,1
000002,29,980,488,28,26,0.3765091896057129,3
000002,30,701,442,17,21,0.3711686134338379,10
000002,31,1489,519,23,67,0.33849167823791504,1
000002,32,269,578,38,139,0.30319643020629883,1
000003,33,953,543,88,70,0.8306379914283752,3
000003,34,1082,540,110,110,0.7549519538879395,3
000003,35,1538,550,46,117,0.7073561549186707,1
000003,36,1453,488,30,89,0.6758515238761902,1
000003,37,1374,509,36,105,0.6744558215141296,1
000003,38,1622,548,59,120,0.5874890685081482,1
000003,39,0,679,34,230,0.5778109431266785,1
000003,40,171,586,52,152,0.5528491735458374,1
000003,41,500,546,36,97,0.5160300135612488,1
000003,42,104,725,46,97,0.4992797076702118,11
000003,43,1490,503,28,80,0.4758863151073456,1
000003,44,538,551,33,92,0.43430382013320923,1
000003,45,104,727,46,94,0.4227343201637268,1
000003,46,1886,543,33,116,0.3558925986289978,1
000003,47,1496,511,23,76,0.33510103821754456,1
000003,48,980,488,28,31,0.32343125343322754,3
000003,49,262,601,44,137,0.3203159272670746,1
000004,50,956,545,88,68,0.8176007270812988,3
000004,51,1085,538,112,114,0.7609687447547913,3
000004,52,1631,547,58,128,0.7131778597831726,1
000004,53,1456,487,30,89,0.6593994498252869,1
000004,54,1379,508,36,105,0.6561815738677979,1
000004,55,91,720,45,100,0.6133511066436768,1
000004,56,1546,552,44,121,0.6090521216392517,1
000004,57,500,546,36,95,0.5419119000434875,1
000004,58,167,584,51,151,0.5139991641044617,1
000004,59,1493,493,30,89,0.475887656211853,1
000004,60,538,544,34,96,0.4735622704029083,1
000004,61,0,690,22,197,0.38971856236457825,1
000004,62,1893,519,26,156,0.31254926323890686,1
